,Unnamed: 0,Unnamed: 1,Unnamed: 2,Total Total cases with,T otal cases with,Unnamed: 3
0,,,,cases with possible or,site of,
1,,,Confirmed*,travel confirmed,transmission,Total deaths
2,WHO Region,Country/Territory/Area,,,,
3,,,cases (new),history to transmission,under,(new)
4,,,,China outside of China†,investigation,
5,,,,(new) (new),(new),
6,,China‡,46 550 (1820),,,
7,,Singapore,50 (3),22 (0) 28 (3),0 (0),0 (0)
8,Western Pacific Region,,,,,
9,0 (0),Japan,29†† (0),24 (0) 5 (0),0 (0),
10,,Republic of Korea,28 (0),13 (0) 12§§ (0),3 (0),0 (0)
11,,Malaysia,18 (0),15 (0) 3‡‡ (0),0 (0),0 (0)
12,,Viet Nam,16 (1),8 (0) 8 (1),0 (0),0 (0)
13,,,,,,
14,,Australia,15 (0),15 (0) 0 (0),0 (0),0 (0)
15,,,,,,
16,,Philippines,3 (0),3 (0) 0 (0),0 (0),1 (0)
17,,Cambodia,1 (0),1 (0) 0 (0),0 (0),0 (0)
18,,Thailand,33 (0),23 (0) 6 (0),4 (0),0 (0)
19,,India,3 (0),3 (0) 0 (0),0 (0),0 (0)
20,South-East Asia Region,,,,,
21,,Nepal,1 (0),1 (0) 0 (0),0 (0),0 (0)
22,,Sri Lanka,1 (0),1 (0) 0 (0),0 (0),0 (0)
23,,United States of,,,,
24,Region of the Americas America,,14 (1),12 (1) 2 (0),0 (0),0 (0)
25,,Canada,7 (0),6 (0) 0 (0),1 (0),0 (0)
26,,Germany,16 (0),2 (0) 14 (0),0 (0),0 (0)
27,,France,11 (0),5 (0) 6 (0),0 (0),0 (0)
28,,The United Kingdom,9 (1),2 (1) 7*** (0),0 (0),0 (0)
29,,Italy,3 (0),3 (0) 0 (0),0 (0),0 (0)
30,European Region,Russian Federation,2 (0),2 (0) 0 (0),0 (0),0 (0)
31,,Spain,2 (0),0 (0) 2§ (0),0 (0),0 (0)
32,,Belgium,1 (0),1 (0) 0 (0),0 (0),0 (0)
33,,Finland,1 (0),1 (0) 0 (0),0 (0),0 (0)
34,,Sweden,1 (0),1 (0) 0 (0),0 (0),0 (0)
35,Eastern Mediterranean,,,,,
36,Region,United Arab Emirates,8 (0),6 (0) 1 (0),1 (0),0 (0)
37,International Other,,,,,
38,,conveyance (Japan),174** (0),0 (0) 0 (0),174 (0),0 (0)
